Nome,Generazione,Rarità,Attacco,Difesa,Valore_Punti
Bulbasaur,1,Non Comune,14,64,3
Charmander,1,Comune,49,30,1
Squirtle,1,Comune,37,70,1
Pikachu,1,Rara,67,56,6
Eevee,1,Comune,98,29,1
Snorlax,1,Comune,16,70,1
Gengar,1,Non Comune,80,36,3
Dragonite,1,Non Comune,59,12,3
Mewtwo,1,Comune,70,69,1
Charizard,1,Comune,30,88,1
Chikorita,2,Comune,79,29,1
Cyndaquil,2,Non Comune,41,90,3
Totodile,2,Comune,79,82,1
Togepi,2,Rara,72,72,6
Ampharos,2,Rara,40,76,6
Scizor,2,Comune,18,66,1
Umbreon,2,Non Comune,22,11,3
Espeon,2,Comune,25,42,1
Tyranitar,2,Comune,44,36,1
Suicune,2,Non Comune,40,56,3
Treecko,3,Comune,67,39,1
Torchic,3,Comune,66,66,1
Mudkip,3,Comune,26,45,1
Gardevoir,3,Non Comune,27,76,3
Aggron,3,Comune,93,63,1
Salamence,3,Non Comune,29,91,3
Metagross,3,Comune,73,63,1
Latias,3,Comune,57,65,1
Latios,3,Rara,11,92,6
Rayquaza,3,Comune,78,67,1
Turtwig,4,Non Comune,22,71,3
Chimchar,4,Comune,17,82,1
Piplup,4,Non Comune,28,45,3
Lucario,4,Comune,86,93,1
Garchomp,4,Rara,70,63,6
Togekiss,4,Comune,26,10,1
Electivire,4,Comune,41,85,1
Magmortar,4,Rara,13,29,6
Darkrai,4,Rara,97,52,6
Arceus,4,Comune,22,84,1
